"","Sequence","Cluster"
"ASV_464","ASV_464",26
"ASV_465","ASV_465",73
"ASV_466","ASV_466",6
"ASV_467","ASV_467",6
"ASV_468","ASV_468",82
"ASV_469","ASV_469",62
"ASV_470","ASV_470",74
"ASV_471","ASV_471",83
"ASV_472","ASV_472",84
"ASV_473","ASV_473",70
"ASV_474","ASV_474",85
"ASV_475","ASV_475",70
"ASV_476","ASV_476",63
"ASV_477","ASV_477",70
"ASV_478","ASV_478",70
"ASV_479","ASV_479",2
"ASV_480","ASV_480",62
"ASV_481","ASV_481",26
"ASV_482","ASV_482",43
"ASV_483","ASV_483",21
"ASV_484","ASV_484",2
"ASV_485","ASV_485",38
"ASV_486","ASV_486",26
"ASV_487","ASV_487",86
"ASV_488","ASV_488",78
"ASV_489","ASV_489",63
"ASV_490","ASV_490",78
"ASV_491","ASV_491",81
"ASV_492","ASV_492",1
"ASV_493","ASV_493",63
"ASV_494","ASV_494",87
"ASV_495","ASV_495",63
"ASV_496","ASV_496",74
"ASV_497","ASV_497",21
"ASV_498","ASV_498",72
"ASV_499","ASV_499",70
"ASV_500","ASV_500",59
"ASV_501","ASV_501",75
"ASV_502","ASV_502",70
"ASV_503","ASV_503",88
"ASV_504","ASV_504",62
"ASV_505","ASV_505",62
"ASV_506","ASV_506",43
"ASV_507","ASV_507",5
"ASV_508","ASV_508",89
"ASV_509","ASV_509",78
"ASV_510","ASV_510",63
"ASV_511","ASV_511",90
"ASV_512","ASV_512",2
"ASV_513","ASV_513",5
"ASV_514","ASV_514",63
"ASV_515","ASV_515",19
"ASV_516","ASV_516",50
"ASV_517","ASV_517",70
"ASV_518","ASV_518",75
"ASV_519","ASV_519",91
"ASV_520","ASV_520",91
"ASV_521","ASV_521",43
"ASV_522","ASV_522",26
"ASV_523","ASV_523",89
"ASV_524","ASV_524",84
"ASV_525","ASV_525",92
"ASV_526","ASV_526",63
"ASV_527","ASV_527",93
"ASV_528","ASV_528",21
"ASV_529","ASV_529",70
"ASV_530","ASV_530",94
"ASV_531","ASV_531",95
"ASV_532","ASV_532",96
"ASV_533","ASV_533",97
"ASV_534","ASV_534",21
"ASV_535","ASV_535",2
"ASV_536","ASV_536",2
"ASV_537","ASV_537",21
"ASV_538","ASV_538",2
"ASV_539","ASV_539",98
"ASV_540","ASV_540",99
"ASV_541","ASV_541",2
"ASV_542","ASV_542",90
"ASV_543","ASV_543",100
"ASV_544","ASV_544",101
"ASV_545","ASV_545",102
"ASV_546","ASV_546",103
"ASV_547","ASV_547",21
"ASV_548","ASV_548",19
"ASV_549","ASV_549",2
"ASV_550","ASV_550",104
"ASV_551","ASV_551",105
"ASV_552","ASV_552",74
"ASV_553","ASV_553",94
"ASV_554","ASV_554",106
"ASV_555","ASV_555",94
"ASV_556","ASV_556",2
"ASV_557","ASV_557",2
"ASV_558","ASV_558",107
"ASV_559","ASV_559",108
"ASV_560","ASV_560",109
"ASV_561","ASV_561",110
"ASV_562","ASV_562",108
"ASV_563","ASV_563",109
"ASV_564","ASV_564",85
"ASV_565","ASV_565",75
"ASV_566","ASV_566",2
"ASV_567","ASV_567",75
"ASV_568","ASV_568",74
"ASV_569","ASV_569",111
"ASV_570","ASV_570",112
"ASV_571","ASV_571",74
"ASV_572","ASV_572",2
"ASV_573","ASV_573",108
"ASV_574","ASV_574",113
"ASV_575","ASV_575",109
"ASV_576","ASV_576",114
"ASV_577","ASV_577",94
"ASV_578","ASV_578",95
"ASV_579","ASV_579",85
"ASV_580","ASV_580",85
"ASV_581","ASV_581",109
"ASV_582","ASV_582",85
"ASV_583","ASV_583",38
"ASV_584","ASV_584",115
"ASV_585","ASV_585",116
"ASV_586","ASV_586",117
"ASV_587","ASV_587",117
"ASV_588","ASV_588",118
"ASV_589","ASV_589",119
"ASV_590","ASV_590",51
"ASV_591","ASV_591",120
"ASV_592","ASV_592",121
"ASV_593","ASV_593",121
"ASV_594","ASV_594",122
"ASV_595","ASV_595",123
"ASV_596","ASV_596",124
"ASV_597","ASV_597",120
"ASV_598","ASV_598",108
"ASV_599","ASV_599",109
"ASV_600","ASV_600",109
"ASV_601","ASV_601",1
"ASV_602","ASV_602",125
"ASV_603","ASV_603",126
"ASV_604","ASV_604",127
"ASV_605","ASV_605",85
"ASV_606","ASV_606",90
"ASV_607","ASV_607",74
"ASV_608","ASV_608",128
"ASV_609","ASV_609",58
"ASV_610","ASV_610",85
"ASV_611","ASV_611",2
"ASV_612","ASV_612",85
"ASV_613","ASV_613",114
"ASV_614","ASV_614",78
"ASV_615","ASV_615",114
"ASV_616","ASV_616",114
"ASV_617","ASV_617",129
"ASV_618","ASV_618",129
"ASV_619","ASV_619",85
"ASV_620","ASV_620",2
"ASV_621","ASV_621",90
"ASV_622","ASV_622",130
"ASV_623","ASV_623",131
"ASV_624","ASV_624",51
"ASV_625","ASV_625",2
"ASV_626","ASV_626",2
"ASV_627","ASV_627",51
"ASV_628","ASV_628",132
"ASV_629","ASV_629",133
"ASV_630","ASV_630",121
"ASV_631","ASV_631",121
"ASV_632","ASV_632",31
"ASV_633","ASV_633",134
"ASV_634","ASV_634",135
"ASV_635","ASV_635",136
"ASV_636","ASV_636",121
"ASV_637","ASV_637",137
"ASV_638","ASV_638",138
"ASV_639","ASV_639",139
"ASV_640","ASV_640",140
"ASV_641","ASV_641",139
"ASV_642","ASV_642",31
"ASV_643","ASV_643",90
"ASV_644","ASV_644",129
"ASV_645","ASV_645",129
"ASV_646","ASV_646",129
"ASV_647","ASV_647",141
"ASV_648","ASV_648",142
"ASV_649","ASV_649",143
"ASV_650","ASV_650",90
"ASV_651","ASV_651",129
"ASV_652","ASV_652",2
"ASV_653","ASV_653",144
"ASV_654","ASV_654",145
"ASV_655","ASV_655",145
"ASV_656","ASV_656",146
"ASV_657","ASV_657",147
"ASV_658","ASV_658",148
"ASV_659","ASV_659",149
"ASV_660","ASV_660",145
"ASV_661","ASV_661",145
"ASV_662","ASV_662",145
"ASV_663","ASV_663",137
"ASV_664","ASV_664",31
"ASV_665","ASV_665",31
"ASV_666","ASV_666",150
"ASV_667","ASV_667",151
"ASV_668","ASV_668",152
"ASV_669","ASV_669",137
"ASV_670","ASV_670",137
"ASV_671","ASV_671",153
"ASV_672","ASV_672",154
"ASV_673","ASV_673",155
"ASV_674","ASV_674",139
"ASV_675","ASV_675",156
"ASV_676","ASV_676",157
"ASV_677","ASV_677",158
"ASV_678","ASV_678",159
"ASV_679","ASV_679",160
"ASV_680","ASV_680",161
"ASV_681","ASV_681",162
"ASV_682","ASV_682",106
"ASV_683","ASV_683",163
"ASV_684","ASV_684",164
"ASV_685","ASV_685",160
"ASV_686","ASV_686",165
"ASV_687","ASV_687",164
"ASV_688","ASV_688",143
"ASV_689","ASV_689",166
"ASV_690","ASV_690",167
"ASV_691","ASV_691",70
"ASV_692","ASV_692",168
